VENDOR_CODE,VENDOR_NAME,VENDOR_TYPE,DATE_SUBMITTED,DATE_COMPLETED
010171,"A LE PAUL INC",OUTRIGHT,"2022-07-18 11:03:42","2022-08-24 14:09:27"
260267,"A. BORSIK RESOURCES INC",OUTRIGHT,"2022-11-23 16:03:16","2023-01-17 14:00:34"
010488,"ADVANCE PAPER CORPORATION",OUTRIGHT,"2022-07-18 13:00:11","2023-03-15 15:05:38"
260213,"ALLANAE PRINTSHOP & PAPER PRODUCTS CORPORATION",OUTRIGHT,"2022-07-19 08:37:07","2022-08-18 14:43:54"
260323,"AMAZON PRINTING & GEN MDSE CORP",OUTRIGHT,"2022-08-02 15:17:31","2022-11-03 15:07:22"
014247,"APRICA PRODUCTS PHILIPPINES INC","STORE CONSIGNOR","2023-01-03 18:36:21","2023-01-16 16:05:34"
014299,"ARCP TRADING","STORE CONSIGNOR","2022-07-19 08:17:52","2022-10-13 15:07:57"
010278,"ARMAK TAPE CORPORATION",OUTRIGHT,"2022-07-25 14:08:57","2022-08-24 14:02:06"
024184,"BABYBAMBOO ENTERPRISES","STORE CONSIGNOR","2022-08-06 14:30:50","2022-09-23 14:01:10"
020519,"BAHAGHARI GLOBAL FOOD INC.",OUTRIGHT,"2022-09-05 10:05:00","2022-11-14 14:10:27"
020541,"BELMAX TRADING",OUTRIGHT,"2022-08-31 10:56:15","2022-09-23 15:22:56"
020533,"BISING TRADING POST",OUTRIGHT,"2022-10-11 15:29:34","2022-11-08 14:46:27"
020524,"BNK MARVGOLD ENTERPRISES",OUTRIGHT,"2022-07-26 18:49:02","2022-08-15 13:57:31"
034250,"CARAVAN INDUSTRIES, INC.","STORE CONSIGNOR","2022-08-11 11:17:28","2023-01-31 13:58:39"
034138,"CDC MANUFACTURING CORP","STORE CONSIGNOR","2022-08-24 16:05:36","2022-10-03 15:03:02"
034253,"COBALTBLISS CORPORATION","STORE CONSIGNOR","2022-08-30 14:35:29","2022-11-11 15:18:58"
034193,"COLOMBO MERCHANT PHILS., INC.","STORE CONSIGNOR","2022-08-19 16:08:16","2022-12-21 13:46:31"
034102,"CONQUEROR INTERNATIONAL INC","STORE CONSIGNOR","2022-08-08 13:22:27","2023-04-05 14:16:33"
030450,"CONQUEST PHILS. INC.",OUTRIGHT,"2022-08-05 13:06:08","2022-10-21 14:23:19"
034279,"CREATIVE MINDS FASHION CONCEPT INC.","STORE CONSIGNOR","2022-08-09 10:53:56","2022-09-01 13:59:13"
170281,"CVX BEYOND TREND CORPORATION",OUTRIGHT,"2022-08-02 09:49:41","2022-10-04 13:42:19"
040345,"D.A.C.Y. CLOTHING GROUP CORP.",OUTRIGHT,"2022-08-03 10:54:22","2022-09-05 14:11:49"
040306,"DONG-A PHARMA PHILS INC",OUTRIGHT,"2023-02-06 10:45:13","2023-04-12 14:06:28"
040316,"DRAGONWORLD ENTERPRISE INC",OUTRIGHT,"2022-08-27 17:36:23","2022-10-12 14:02:09"
