VENDOR_CODE,VENDOR_NAME,VENDOR_TYPE,DATE_SUBMITTED,CURRENT_STATUS
150559,"168 QUESTVENTURES TRADING CORP",OUTRIGHT,"2022-07-19 13:58:00","Incomplete - Primary"
150557,"168 TOYHOUSE INC.",OUTRIGHT,"2022-07-19 12:04:51","Incomplete - Primary"
204244,"22BC FASHIONS, INC.","STORE CONSIGNOR","2022-07-18 15:58:30","Incomplete - Primary"
200369,"3G TOPTRENDS ASIA CORP",OUTRIGHT,"2022-08-30 15:14:26","Incomplete - Primary"
010784,"ABSOLUTE SALES CORPORATION",OUTRIGHT,"2022-08-11 15:48:21","Incomplete - Primary"
014289,"ACE RAINGEAR CO.","STORE CONSIGNOR","2022-10-25 11:41:03","In Process"
014308,"ACTIVESTYLE CORPORATION","STORE CONSIGNOR","2022-08-22 16:26:11","Incomplete - Primary"
010358,"ADP INDUSTRIES CORPORATION",OUTRIGHT,"2022-08-20 09:04:59","In Process"
260248,"AGE DEFYING SOLUTIONS PHILIPPINES CORP",OUTRIGHT,"2024-05-29 14:36:41","In Process"
010562,"AIZA'S SWEETS",OUTRIGHT,"2022-08-26 16:11:54","Incomplete - Primary"
014157,"ALEXIS JEWELLERY INC","STORE CONSIGNOR","2022-07-18 14:32:05","Incomplete - Primary"
260218,"ALL IN RED CLAY FACTORY LTD CO",OUTRIGHT,"2023-09-09 09:41:03","Incomplete - Primary"
014269,"ALL WIN ASIA CORP.","STORE CONSIGNOR","2022-08-26 16:16:52","For Validation of Additional Requirements"
010658,"ALLGEMEINE BAU CHEMIE PHIL., INC.",OUTRIGHT,"2022-08-30 11:08:18","Incomplete - Primary"
014126,"ALPHA MUSIC CORPORATION","STORE CONSIGNOR","2022-09-22 14:25:52","In Process"
010862,"ALRIA SHOES",OUTRIGHT,"2023-03-21 17:26:26","In Process"
014210,"ALTERRA MONDO CORP","STORE CONSIGNOR","2022-10-28 09:47:32","In Process"
260433,"AMOREPACIFIC PHILIPPINES INC.",OUTRIGHT,"2023-04-25 17:21:30","In Process"
014294,"AMSAMM PROPERTY & DEVELOPMENT, INC.","STORE CONSIGNOR","2024-03-11 16:31:44","Incomplete - Primary"
010037,"ANJELI INTERNATIONAL",OUTRIGHT,"2022-07-22 09:47:23","In Process"
260393,"APPSTAR GLOBAL DISTRIBUTORS INC.",OUTRIGHT,"2022-07-18 09:17:42","Incomplete - Primary"
010096,"ARMIN HAT TRADING",OUTRIGHT,"2022-07-21 11:01:20","Incomplete - Primary"
010063,"ARROW FILAMENT & WEAVING MILLS INCORPORATED",OUTRIGHT,"2022-08-31 09:54:26","Incomplete - Primary"
260312,"ARTISANA ISLAND CRAFTS",OUTRIGHT,"2024-04-05 13:55:19",Submitted
260303,"ASIAN COATINGS PHILS., INC.",OUTRIGHT,"2022-12-29 08:51:40","In Process"
260207,"ASIATRADERS CORPORATION",OUTRIGHT,"2022-08-30 13:32:04","Incomplete - Primary"
010909,"ASO PHILIPPINES, INC.",OUTRIGHT,"2023-01-10 12:46:39","Incomplete - Primary"
260299,"ATIENZA NATURALE INC",OUTRIGHT,"2022-09-29 11:21:54","In Process"
010593,"ATLAS SUPER FLAGS",OUTRIGHT,"2022-09-01 11:00:32","Incomplete - Primary"
020023,"BACHELOR GALORE MFG",OUTRIGHT,"2022-08-09 14:39:53","In Process"
020350,"BAGS IN THE CITY MANILA CO.",OUTRIGHT,"2024-02-21 08:24:46","Incomplete - Primary"
020442,"BEAUCOUP CORPORATION",OUTRIGHT,"2023-01-16 12:53:54","Incomplete - Primary"
024222,"BEAUTY BOX CORP.","STORE CONSIGNOR","2023-01-12 10:02:05","In Process"
024226,"BEBLOOM CORP.","STORE CONSIGNOR","2022-07-26 08:46:45","Incomplete - Primary"
