VENDOR_CODE,VENDOR_NAME,VENDOR_TYPE,DATE_SUBMITTED,DATE_COMPLETED
010171,"A LE PAUL INC",OUTRIGHT,"2022-07-18 11:03:42","2022-08-24 14:09:27"
014197,"A.K.S. INDUSTRIES","STORE CONSIGNOR","2023-06-14 15:14:23","2023-07-26 14:08:03"
010488,"ADVANCE PAPER CORPORATION",OUTRIGHT,"2022-07-18 13:00:11","2023-03-15 15:05:38"
014077,"ADVANTIX MARKETING","STORE CONSIGNOR","2022-08-31 10:51:29","2023-06-13 14:24:18"
010923,"AGRIMEX SALES CORPORATION",OUTRIGHT,"2022-07-19 11:53:24","2023-11-20 08:44:43"
260213,"ALLANAE PRINTSHOP & PAPER PRODUCTS CORPORATION",OUTRIGHT,"2022-07-19 08:37:07","2022-08-18 14:43:54"
260323,"AMAZON PRINTING & GEN MDSE CORP",OUTRIGHT,"2022-08-02 15:17:31","2022-11-03 15:07:22"
014247,"APRICA PRODUCTS PHILIPPINES INC","STORE CONSIGNOR","2023-01-03 18:36:21","2023-01-16 16:05:34"
014299,"ARCP TRADING","STORE CONSIGNOR","2022-07-19 08:17:52","2022-10-13 15:07:57"
024184,"BABYBAMBOO ENTERPRISES","STORE CONSIGNOR","2022-08-06 14:30:50","2022-09-23 14:01:10"
020519,"BAHAGHARI GLOBAL FOOD INC.",OUTRIGHT,"2022-09-05 10:05:00","2022-11-14 14:10:27"
024225,"BEANSPROUT LIFESTYLE MARKETING CORPORATION","STORE CONSIGNOR","2023-11-30 18:21:15","2023-12-12 14:51:39"
020541,"BELMAX TRADING",OUTRIGHT,"2022-08-31 10:56:15","2022-09-23 15:22:56"
020533,"BISING TRADING POST",OUTRIGHT,"2022-10-11 15:29:34","2022-11-08 14:46:27"
020524,"BNK MARVGOLD ENTERPRISES",OUTRIGHT,"2022-07-26 18:49:02","2022-08-15 13:57:31"
034250,"CARAVAN INDUSTRIES, INC.","STORE CONSIGNOR","2022-08-11 11:17:28","2023-01-31 13:58:39"
034138,"CDC MANUFACTURING CORP","STORE CONSIGNOR","2022-08-24 16:05:36","2022-10-03 15:03:02"
034253,"COBALTBLISS CORPORATION","STORE CONSIGNOR","2022-08-30 14:35:29","2022-11-11 15:18:58"
034193,"COLOMBO MERCHANT PHILS., INC.","STORE CONSIGNOR","2022-08-19 16:08:16","2022-12-21 13:46:31"
034102,"CONQUEROR INTERNATIONAL INC","STORE CONSIGNOR","2022-08-08 13:22:27","2023-04-05 14:16:33"
030450,"CONQUEST PHILS. INC.",OUTRIGHT,"2022-08-05 13:06:08","2022-10-21 14:23:19"
030529,"CONSOLIDATED PAPER PRODUCTS, INC.",OUTRIGHT,"2022-08-30 10:11:59","2023-05-15 14:19:00"
034279,"CREATIVE MINDS FASHION CONCEPT INC.","STORE CONSIGNOR","2022-08-09 10:53:56","2022-09-01 13:59:13"
170281,"CVX BEYOND TREND CORPORATION",OUTRIGHT,"2022-08-02 09:49:41","2022-10-04 13:42:19"
040345,"D.A.C.Y. CLOTHING GROUP CORP.",OUTRIGHT,"2022-08-03 10:54:22","2022-09-05 14:11:49"
040204,"DEXTERTON CORPORATION",OUTRIGHT,"2023-03-21 16:15:53","2023-11-17 15:47:34"
040306,"DONG-A PHARMA PHILS INC",OUTRIGHT,"2023-02-06 10:45:13","2023-04-12 14:06:28"
040316,"DRAGONWORLD ENTERPRISE INC",OUTRIGHT,"2022-08-27 17:36:23","2022-10-12 14:02:09"
050282,"EAGLE SOLE, INCORPORATED",OUTRIGHT,"2022-09-06 15:39:13","2023-05-31 14:01:58"
050310,"EASYHAND MARKETING CORPORATION",OUTRIGHT,"2022-08-08 16:01:30","2023-05-05 14:10:25"
050290,"ELIO PHILIPPINES INC",OUTRIGHT,"2022-08-16 10:24:08","2022-10-04 14:15:00"
050327,"EMIRO MARELI CORPORATION",OUTRIGHT,"2022-10-04 14:50:55","2023-04-26 14:43:59"
050374,"EVERWING PROFEM CORPORATION",OUTRIGHT,"2022-09-28 10:27:14","2022-11-09 14:39:57"
054006,"EVIAN APPAREL CORPORATION","STORE CONSIGNOR","2022-08-20 15:38:37","2022-11-11 13:42:28"
064141,"F AND C JEWELRY, INC.","STORE CONSIGNOR","2022-11-14 14:51:36","2022-12-01 16:02:46"
060418,"F&L FASHION LEADER INC.",OUTRIGHT,"2022-08-24 15:15:40","2022-11-16 15:53:46"
060424,"FATED INC.",OUTRIGHT,"2022-08-02 11:26:25","2022-09-26 13:53:43"
060290,"FEDCHEM MANUFACTURING & DISTRIBUTION INC.",OUTRIGHT,"2023-01-03 14:28:52","2023-02-01 13:59:39"
060309,"FIRST LINEN COMMERCIAL",OUTRIGHT,"2022-08-31 10:10:06","2022-10-13 13:55:27"
060362,"FM GEMS COLLECTIONS",OUTRIGHT,"2022-12-19 09:50:40","2023-01-03 14:17:52"
060323,"FORCAST ARTS & CRAFTS",OUTRIGHT,"2023-01-03 14:06:47","2023-03-09 11:06:51"
070217,"G A C APPAREL",OUTRIGHT,"2022-08-04 00:46:37","2022-08-24 14:15:02"
070415,"G! FASHIONABLES, INC.",OUTRIGHT,"2022-10-18 17:15:35","2022-11-23 14:28:37"
070410,"GIFT BUSINESS.COM PHILIPPINES INCORPORATED",OUTRIGHT,"2022-09-09 10:13:54","2023-03-27 13:57:46"
074040,"GIVANO FOOTWEAR INTL CORP","STORE CONSIGNOR","2022-09-09 14:49:31","2022-11-10 13:58:21"
070710,"GOLD KNIT GARMENT MANUFACTURING",OUTRIGHT,"2022-08-08 18:56:36","2022-09-26 14:15:37"
074224,"GRAVISGLOBAL CORP.","STORE CONSIGNOR","2023-01-05 15:20:45","2023-10-09 15:38:59"
070877,"GRICU TRADING",OUTRIGHT,"2022-08-21 13:41:14","2022-09-06 13:59:48"
070525,"GTGB TRADING",OUTRIGHT,"2023-06-16 19:51:49","2023-06-21 14:08:35"
080226,"HANDRICH SALES VENTURES INC.",OUTRIGHT,"2022-08-23 16:52:58","2022-09-23 14:25:47"
084104,"HATCH MARKETING INC.","STORE CONSIGNOR","2022-07-18 11:01:33","2022-08-18 14:11:33"
