VENDOR_CODE,VENDOR_NAME,VENDOR_TYPE,DATE_SUBMITTED,CURRENT_STATUS
154005,"168 MARKETING CORPORATION","STORE CONSIGNOR","2022-07-26 10:07:23","For Validation of Additional Requirements"
150559,"168 QUESTVENTURES TRADING CORP",OUTRIGHT,"2022-07-19 13:58:00","In Process"
150557,"168 TOYHOUSE INC.",OUTRIGHT,"2022-07-19 12:04:51","Incomplete - Primary"
204244,"22BC FASHIONS, INC.","STORE CONSIGNOR","2022-07-18 15:58:30","Deactivated - Primary Requirements"
200369,"3G TOPTRENDS ASIA CORP",OUTRIGHT,"2022-08-30 15:14:26","In Process"
010784,"ABSOLUTE SALES CORPORATION",OUTRIGHT,"2022-08-11 15:48:21","Incomplete - Primary"
014308,"ACTIVESTYLE CORPORATION","STORE CONSIGNOR","2022-08-22 16:26:11","In Process"
010358,"ADP INDUSTRIES CORPORATION",OUTRIGHT,"2022-08-20 09:04:59","In Process"
010488,"ADVANCE PAPER CORPORATION",OUTRIGHT,"2022-07-18 13:00:11","In Process"
010923,"AGRIMEX SALES CORPORATION",OUTRIGHT,"2022-07-19 11:53:24","In Process"
010055,"AI INNOVATION SYSTEMS INC",OUTRIGHT,"2022-08-30 12:07:33","For VRD Head Approval"
010562,"AIZA'S SWEETS",OUTRIGHT,"2022-08-26 16:11:54","In Process"
014157,"ALEXIS JEWELLERY INC","STORE CONSIGNOR","2022-07-18 14:32:05","Deactivated - Primary Requirements"
014269,"ALL WIN ASIA CORP","STORE CONSIGNOR","2022-08-26 16:16:52","Incomplete - Primary"
010658,"ALLGEMEINE BAU-CHEMIE PHIL INC",OUTRIGHT,"2022-08-30 11:08:18","In Process"
014126,"ALPHA MUSIC CORPORATION","STORE CONSIGNOR","2022-09-22 14:25:52","In Process"
260323,"AMAZON PRINTING & GEN MDSE CORP",OUTRIGHT,"2022-08-02 15:17:31","Schedule Request for Visit"
010037,"ANJELI INTERNATIONAL",OUTRIGHT,"2022-07-22 09:47:23","In Process"
260393,"APPSTAR GLOBAL DISTRIBUTORS INC.",OUTRIGHT,"2022-07-18 09:17:42","Incomplete - Primary"
014299,"ARCP TRADING","STORE CONSIGNOR","2022-07-19 08:17:52",Submitted
010096,"ARMIN HAT TRADING",OUTRIGHT,"2022-07-21 11:01:20","In Process"
010063,"ARROW FILAMENT & WEAVING MILLS INCORPORATED",OUTRIGHT,"2022-08-31 09:54:26","Incomplete - Primary"
260207,"ASIATRADERS CORPORATION",OUTRIGHT,"2022-08-30 13:32:04","Incomplete - Primary"
260299,"ATIENZA NATURALE INC",OUTRIGHT,"2022-09-29 11:21:54","In Process"
010593,"ATLAS SUPER FLAGS",OUTRIGHT,"2022-09-01 11:00:32","Incomplete - Primary"
014234,"AUDIO-VIDEO SOLUTIONS CORPORATION","STORE CONSIGNOR","2022-09-01 16:06:10","In Process"
020023,"BACHELOR GALORE MFG",OUTRIGHT,"2022-08-09 14:39:53","In Process"
020519,"BAHAGHARI GLOBAL FOOD INC.",OUTRIGHT,"2022-09-05 10:05:00","Incomplete - Primary"
024226,"BEBLOOM CORP.","STORE CONSIGNOR","2022-07-26 08:46:45","In Process"
020552,"BEDROCK HOME AND BODY ESSENTIALS",OUTRIGHT,"2022-09-01 12:24:44","Incomplete - Primary"
024217,"BENELUXE TRADING CORPORATION","STORE CONSIGNOR","2022-09-05 10:48:58","In Process"
020117,"BEST RUBBER CORPORATION",OUTRIGHT,"2022-07-28 11:21:18","In Process"
024232,"BETINA'S APPAREL","STORE CONSIGNOR","2022-08-24 09:23:02","Incomplete - Primary"
020187,"BETTERWAY GENERAL MERCHANDISE",OUTRIGHT,"2022-09-01 08:51:39","Incomplete - Primary"
024242,"BLESSMART FASHION INC.","STORE CONSIGNOR","2022-08-01 10:52:55","In Process"
024212,"BLIMS LIFESTYLE GROUP INC","STORE CONSIGNOR","2022-08-24 10:13:37","Incomplete - Primary"
024237,"BNM GREAT GIFTS (LUZON) INC.","STORE CONSIGNOR","2022-08-26 16:40:30","Incomplete - Primary"
020438,"BOYA WELLNESS PRODUCTS MARKETING CORP",OUTRIGHT,"2022-09-27 14:28:47","In Process"
030092,"C.C. LOPEZ ENTERPRISES",OUTRIGHT,"2022-08-30 09:57:49","Incomplete - Primary"
170410,"CAMBERT (PILIPINAS), INC.",OUTRIGHT,"2022-08-31 11:17:32","In Process"
034250,"CARAVAN INDUSTRIES, INC.","STORE CONSIGNOR","2022-08-11 11:17:28","Incomplete - Primary"
034300,"CARRICKMACROSS INC.","STORE CONSIGNOR","2022-08-03 11:05:52","In Process"
034313,"CASTLEHAWK VENTURES INCORPORATED","STORE CONSIGNOR","2022-08-18 21:16:24","In Process"
034138,"CDC MANUFACTURING CORP","STORE CONSIGNOR","2022-08-24 16:05:36","For Validation of Additional Requirements"
034262,"CENTRON ENERGY SAVINGS TECHNOLOGY CORP","STORE CONSIGNOR","2022-09-01 08:57:34","In Process"
030642,"CENTURY CHEMICAL CORPORATION",OUTRIGHT,"2022-09-02 09:37:10","In Process"
170293,"CHAMPION PREMIER CONCEPT INC",OUTRIGHT,"2022-08-25 15:13:00","Incomplete - Primary"
170261,"CHARLTONVIN ENTERPRISES",OUTRIGHT,"2022-08-30 09:45:58","In Process"
170415,"CHENHUANG NSBM CORPORATION",OUTRIGHT,"2022-09-05 13:08:45","In Process"
034310,"CHERRY BERRY FLOWERS AND DECOR INC.","STORE CONSIGNOR","2022-08-26 16:02:17","Incomplete - Primary"
170352,"CHIVALRY FOODS",OUTRIGHT,"2022-08-27 14:22:15","Incomplete - Primary"
170414,"CHOCOLATERISA CHOCOLATE INC.",OUTRIGHT,"2022-09-09 15:52:08",Submitted
034161,"CMG RETAIL INC.","STORE CONSIGNOR","2022-09-01 09:32:29","In Process"
034253,"COBALTBLISS CORPORATION","STORE CONSIGNOR","2022-08-30 14:35:29","Incomplete - Primary"
034193,"COLOMBO MERCHANT PHILS., INC.","STORE CONSIGNOR","2022-08-19 16:08:16",Submitted
030164,"COMMONWEALTH FOODS INCORPORATED",OUTRIGHT,"2022-09-15 14:12:50","In Process"
