VENDOR_CODE,VENDOR_NAME,VENDOR_TYPE,DATE_SUBMITTED,DATE_COMPLETED
010171,"A LE PAUL INC",OUTRIGHT,"2022-07-18 11:03:42","2022-08-24 14:09:27"
260213,"ALLANAE PRINTSHOP & PAPER PRODUCTS CORPORATION",OUTRIGHT,"2022-07-19 08:37:07","2022-08-18 14:43:54"
010278,"ARMAK TAPE CORPORATION",OUTRIGHT,"2022-07-25 14:08:57","2022-08-24 14:02:06"
024184,"BABYBAMBOO ENTERPRISES","STORE CONSIGNOR","2022-08-06 14:30:50","2022-09-23 14:01:10"
020541,"BELMAX TRADING",OUTRIGHT,"2022-08-31 10:56:15","2022-09-23 15:22:56"
020524,"BNK MARVGOLD ENTERPRISES",OUTRIGHT,"2022-07-26 18:49:02","2022-08-15 13:57:31"
034123,"CHEX ART CO.","STORE CONSIGNOR","2022-08-02 14:11:24","2022-09-01 13:47:04"
034279,"CREATIVE MINDS FASHION CONCEPT INC.","STORE CONSIGNOR","2022-08-09 10:53:56","2022-09-01 13:59:13"
040345,"D.A.C.Y. CLOTHING GROUP CORP.",OUTRIGHT,"2022-08-03 10:54:22","2022-09-05 14:11:49"
070217,"G A C APPAREL",OUTRIGHT,"2022-08-04 00:46:37","2022-08-24 14:15:02"
070877,"GRICU TRADING",OUTRIGHT,"2022-08-21 13:41:14","2022-09-06 13:59:48"
080226,"HANDRICH SALES VENTURES INC.",OUTRIGHT,"2022-08-23 16:52:58","2022-09-23 14:25:47"
084104,"HATCH MARKETING INC.","STORE CONSIGNOR","2022-07-18 11:01:33","2022-08-18 14:11:33"
094022,"ISHA-RAE COMMERCIAL INC","STORE CONSIGNOR","2022-08-25 13:42:41","2022-09-23 14:42:08"
190333,"STAR PLASTIC PRODUCTS INC",OUTRIGHT,"2022-07-21 16:52:41","2022-08-26 13:14:37"
