VENDOR_CODE,VENDOR_NAME,VENDOR_TYPE,DATE_SUBMITTED,CURRENT_STATUS
154005,"168 MARKETING CORPORATION","STORE CONSIGNOR","2022-07-26 10:07:23","Schedule Request for Visit"
150559,"168 QUESTVENTURES TRADING CORP",OUTRIGHT,"2022-07-19 13:58:00","In Process"
150557,"168 TOYHOUSE INC.",OUTRIGHT,"2022-07-19 12:04:51","Incomplete - Primary"
204244,"22BC FASHIONS, INC.","STORE CONSIGNOR","2022-07-18 15:58:30","Deactivated - Primary Requirements"
200369,"3G TOPTRENDS ASIA CORP",OUTRIGHT,"2022-08-30 15:14:26","In Process"
010784,"ABSOLUTE SALES CORPORATION",OUTRIGHT,"2022-08-11 15:48:21","Incomplete - Primary"
014308,"ACTIVESTYLE CORPORATION","STORE CONSIGNOR","2022-08-22 16:26:11","In Process"
010358,"ADP INDUSTRIES CORPORATION",OUTRIGHT,"2022-08-20 09:04:59","In Process"
010488,"ADVANCE PAPER CORPORATION",OUTRIGHT,"2022-07-18 13:00:11","In Process"
014077,"ADVANTIX MARKETING","STORE CONSIGNOR","2022-08-31 10:51:29",Submitted
010923,"AGRIMEX SALES CORPORATION",OUTRIGHT,"2022-07-19 11:53:24","In Process"
010055,"AI INNOVATION SYSTEMS INC",OUTRIGHT,"2022-08-30 12:07:33",Submitted
010562,"AIZA'S SWEETS",OUTRIGHT,"2022-08-26 16:11:54","In Process"
014157,"ALEXIS JEWELLERY INC","STORE CONSIGNOR","2022-07-18 14:32:05","Deactivated - Primary Requirements"
014269,"ALL WIN ASIA CORP","STORE CONSIGNOR","2022-08-26 16:16:52","Incomplete - Primary"
010658,"ALLGEMEINE BAU-CHEMIE PHIL INC",OUTRIGHT,"2022-08-30 11:08:18","In Process"
260323,"AMAZON PRINTING & GEN MDSE CORP",OUTRIGHT,"2022-08-02 15:17:31","Schedule Request for Visit"
010037,"ANJELI INTERNATIONAL",OUTRIGHT,"2022-07-22 09:47:23","In Process"
260393,"APPSTAR GLOBAL DISTRIBUTORS INC.",OUTRIGHT,"2022-07-18 09:17:42",Submitted
014299,"ARCP TRADING","STORE CONSIGNOR","2022-07-19 08:17:52","Incomplete - Primary"
010096,"ARMIN HAT TRADING",OUTRIGHT,"2022-07-21 11:01:20","In Process"
010063,"ARROW FILAMENT & WEAVING MILLSINCORPORATED",OUTRIGHT,"2022-08-31 09:54:26",Submitted
260207,"ASIATRADERS CORPORATION",OUTRIGHT,"2022-08-30 13:32:04","Incomplete - Primary"
010593,"ATLAS SUPER FLAGS",OUTRIGHT,"2022-09-01 11:00:32","Incomplete - Primary"
014234,"AUDIO-VIDEO SOLUTIONS CORPORATION","STORE CONSIGNOR","2022-09-01 16:06:10","In Process"
024184,"BABYBAMBOO ENTERPRISES","STORE CONSIGNOR","2022-08-06 14:30:50","Schedule Request for Visit"
020023,"BACHELOR GALORE MFG",OUTRIGHT,"2022-08-09 14:39:53","In Process"
020519,"BAHAGHARI GLOBAL FOOD INC.",OUTRIGHT,"2022-09-05 10:05:00",Submitted
024226,"BEBLOOM CORP.","STORE CONSIGNOR","2022-07-26 08:46:45","In Process"
